Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Beaudry et Cizeron_1H1F.1,Ambitions - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Ambitions - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Ambitions - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Ambitions - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Ambitions - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,Quand tes ambitions tournent dans ta tête
Beaudry et Cizeron_1H1F.1,Ambitions - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,"Là dans ton sommeil, elles se révèlent"
Beaudry et Cizeron_1H1F.1,Ambitions - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,"Change ton destin, plus rien ne t'arrête"
Beaudry et Cizeron_1H1F.1,Ambitions - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,"T'as tout ce qu'il faut, la route est belle"
Beaudry et Cizeron_1H1F.1,Ambitions - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,"Laisse aller ton âme, ta conviction, ta partition"
Beaudry et Cizeron_1H1F.1,Ambitions - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,"Laisse aller ton âme,"
Beaudry et Cizeron_1H1F.1,Ambitions - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,"regarde-la, bien en face !"
Beaudry et Cizeron_1H1F.1,Ambitions - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,Mais cette euphorie est ephémère 
Beaudry et Cizeron_1H1F.1,Ambitions - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,Tous les vents contraires sont contre toi
Beaudry et Cizeron_1H1F.1,Ambitions - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,Le goût de ce rêve est bien amer
Beaudry et Cizeron_1H1F.1,Ambitions - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,Tu rentres dans encore une fois
Beaudry et Cizeron_1H1F.1,Ambitions - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Ambitions - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Ambitions - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,"Laisse aller ton âme, ta conviction, ta partition"
Beaudry et Cizeron_1H1F.1,Ambitions - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,"Laisse aller ton âme,"
Beaudry et Cizeron_1H1F.1,Ambitions - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,"regarde-la, bien en face !"
Beaudry et Cizeron_1H1F.1,Ambitions - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Ambitions - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Ambitions - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,Il suffirait qu'un jour Il suffirait qu’une fois
Beaudry et Cizeron_1H1F.1,Ambitions - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,"Tu prennes enfin ton tour, que brûle cette flamme en toi"
Beaudry et Cizeron_1H1F.1,Ambitions - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,"Laisse aller ton âme,"
