Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,"Dis-moi,"
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,"Dis-moi, qui a-t-il à regarder là-bas"
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,Quand le regard se perd dans l’horizon
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,Les yeux se seaient-ils lassés
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,Quand le cœur et l'esprit
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,Ne sont plus à l’unisson
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,Briser ses chaînes
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,Et vivre dans la passion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,Oublier les haines
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,Et s’affranchir de la loi du Talion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,Briser ses chaînes
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,Et vivre dans la passion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,Oublier les haines
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,Et s’affranchir de la loi du Talion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,Dis-moi
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,Qui a-t-il donc à regarder là-bas ?
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,Je n'arrive plus à voir
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,"À cause d'un esprit abîmé, d'un passé"
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,Qui éteins les espoirs
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,Briser ses chaînes
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,Et vivre dans la passion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,Oublier les haines
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,Et s’affranchir de la loi du Talion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,Brises ses chaînes
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-60,   59| 1| 000,   61| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-62,   61| 1| 000,   63| 1| 000,    2| 0| 000,Briser ses chaînes
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-64,   63| 1| 000,   65| 1| 000,    2| 0| 000,Et vivre dans la passion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-66,   65| 1| 000,   67| 1| 000,    2| 0| 000,Oublier les haines
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-68,   67| 1| 000,   69| 1| 000,    2| 0| 000,Et s’affranchir de la loi du Talion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-70,   69| 1| 000,   71| 1| 000,    2| 0| 000,"Dis-moi,"
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-72,   71| 1| 000,   73| 1| 000,    2| 0| 000,que je peux voir à nouveau
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-74,   73| 1| 000,   75| 1| 000,    2| 0| 000,Que je peux regarder vers demain
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-76,   75| 1| 000,   77| 1| 000,    2| 0| 000,Croquer la vie sans aucun fardeau
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-78,   77| 1| 000,   79| 1| 000,    2| 0| 000,Marcher dans mon rêve
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-80,   79| 1| 000,   81| 1| 000,    2| 0| 000,Ma main dans ta main
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-82,   81| 1| 000,   83| 1| 000,    2| 0| 000,Briser ses chaînes
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-84,   83| 1| 000,   85| 1| 000,    2| 0| 000,Et vivre dans la passion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-86,   85| 1| 000,   87| 1| 000,    2| 0| 000,Oublier les haines
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-88,   87| 1| 000,   89| 1| 000,    2| 0| 000,Et s’affranchir de la loi du Talion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-90,   89| 1| 000,   91| 1| 000,    2| 0| 000,Briser ses chaînes
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-92,   91| 1| 000,   93| 1| 000,    2| 0| 000,Et vivre dans la passion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-94,   93| 1| 000,   95| 1| 000,    2| 0| 000,Oublier les haines
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-96,   95| 1| 000,   97| 1| 000,    2| 0| 000,Et s’affranchir de la loi du Talion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-98,   97| 1| 000,   99| 1| 000,    2| 0| 000,Briser ses chaînes
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-100,   99| 1| 000,  101| 1| 000,    2| 0| 000,Et vivre dans la passion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-102,  101| 1| 000,  103| 1| 000,    2| 0| 000,Oublier les haines
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-104,  103| 1| 000,  105| 1| 000,    2| 0| 000,Et s’affranchir de la loi du Talion
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-106,  105| 1| 000,  107| 1| 000,    2| 0| 000,Briser ses chaînes
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-108,  107| 1| 000,  109| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-110,  109| 1| 000,  111| 1| 000,    2| 0| 000,Briser ses chaînes
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-112,  111| 1| 000,  113| 1| 000,    2| 0| 000,
Beaudry et Cizeron_1H1F.1,Briser ses chaines - T-113,  113| 1| 000,  117| 1| 928,    4| 0| 928,Briser ses chaînes
