Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours,,
De toi à moi – T,De toi à moi MASTER-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,,,
De toi à moi – T,De toi à moi MASTER-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,,,
De toi à moi – T,De toi à moi MASTER-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,"Si tu voulais danser ce soir,",,
De toi à moi – T,De toi à moi MASTER-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,Nos pas graveraient ma mémoire.,,
De toi à moi – T,De toi à moi MASTER-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,"Si tu voulais suivre cette voie,",,
De toi à moi – T,De toi à moi MASTER-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,Que sur nous les étoiles tournoient.,,
De toi à moi – T,De toi à moi MASTER-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,De toi à moi.,,
De toi à moi – T,De toi à moi MASTER-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,De toi à moi.,,
De toi à moi – T,De toi à moi MASTER-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,De toi à moi.,,
De toi à moi – T,De toi à moi MASTER-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,De toi à moi.,,
De toi à moi – T,De toi à moi MASTER-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,"Si tu voulais chanter ce soir,",,
De toi à moi – T,De toi à moi MASTER-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,De tes paroles naîtrait l’espoir.,,
De toi à moi – T,De toi à moi MASTER-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,"Que je me berce de ta voix,",,
De toi à moi – T,De toi à moi MASTER-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,À tout jamais de toi à moi.,,
De toi à moi – T,De toi à moi MASTER-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,,,
De toi à moi – T,De toi à moi MASTER-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,De toi à moi.,,
De toi à moi – T,De toi à moi MASTER-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,De toi à moi.,,
De toi à moi – T,De toi à moi MASTER-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,De toi à moi.,,
De toi à moi – T,De toi à moi MASTER-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,De toi à moi.,,
De toi à moi – T,De toi à moi MASTER-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,"Mais si tu m'offrais ton regard,",,
De toi à moi – T,De toi à moi MASTER-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,Le temps n'aurait plus qu'à sursoir.,,
De toi à moi – T,De toi à moi MASTER-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,"Pour que vive cet instant de grâce,",,
De toi à moi – T,De toi à moi MASTER-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,"De notre bonheur, la préface.",, 
De toi à moi – T,De toi à moi MASTER-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,,,
De toi à moi – T,De toi à moi MASTER-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,De toi à moi,,
De toi à moi – T,De toi à moi MASTER-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,De toi à moi,,
De toi à moi – T,De toi à moi MASTER-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,De toi à moi,,
De toi à moi – T,De toi à moi MASTER-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,De toi à moi,,
De toi à moi – T,De toi à moi MASTER-57,   57| 1| 000,   59| 1| 000,    2| 0| 000,(De toi. A moi.),,
