Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Histoire d'A - T,Histoire d'A - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,"Parce que la vie t'a malmenée,"
Histoire d'A - T,Histoire d'A - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,"Parce que ton cœur est si fragile,"
Histoire d'A - T,Histoire d'A - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,"Mais que ta tête donne le change, avec ton esprit si subtil."
Histoire d'A - T,Histoire d'A - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,
Histoire d'A - T,Histoire d'A - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,"Laisse-moi mon âme soeur détruire tes peines et tes peurs,"
Histoire d'A - T,Histoire d'A - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,"Faire de ta vie une romance, une nouvelle histoire commence."
Histoire d'A - T,Histoire d'A - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,
Histoire d'A - T,Histoire d'A - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,"Parce que tes yeux ont trop pleuré,"
Histoire d'A - T,Histoire d'A - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,"Parce que ton cœur a trop saigné,"
Histoire d'A - T,Histoire d'A - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,"Tu penses être seul pour avancer, regarde mieux autour de toi."
Histoire d'A - T,Histoire d'A - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,
Histoire d'A - T,Histoire d'A - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,"Laisse-moi mon âme soeur détruire tes peines et tes peurs,"
Histoire d'A - T,Histoire d'A - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,"Faire de ta vie une romance, une nouvelle histoire commence."
Histoire d'A - T,Histoire d'A - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,
Histoire d'A - T,Histoire d'A - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,"Tu t'es construit un grand bonheur,"
Histoire d'A - T,Histoire d'A - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,"Mais ton avenir qui te fait peur,"
Histoire d'A - T,Histoire d'A - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,T'empêche enfin d'en profiter
Histoire d'A - T,Histoire d'A - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,Et de te laisser emporter.
Histoire d'A - T,Histoire d'A - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,"Avançons-nous main dans la main,"
Histoire d'A - T,Histoire d'A - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,"Et tous les pièges sur nos chemins,"
Histoire d'A - T,Histoire d'A - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,"N'écrirons jamais le mot fin, que nous enchantent tout ce refrain."
Histoire d'A - T,Histoire d'A - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,
Histoire d'A - T,Histoire d'A - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,
Histoire d'A - T,Histoire d'A - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,
Histoire d'A - T,Histoire d'A - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,
Histoire d'A - T,Histoire d'A - T-97,   51| 1| 000,   53| 1| 000,    2| 0| 000,"Laisse-moi mon âme soeur détruire tes peines et tes peurs,"
Histoire d'A - T,Histoire d'A - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,"Faire de ta vie une romance, une nouvelle histoire commence."
Histoire d'A - T,Histoire d'A - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,
Histoire d'A - T,Histoire d'A - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,"Tes yeux ne sont faits que pour briller,"
Histoire d'A - T,Histoire d'A - T-60,   59| 1| 000,   61| 1| 000,    2| 0| 000,"Ta bouche pour rire et pour chanter,"
Histoire d'A - T,Histoire d'A - T-62,   61| 1| 000,   63| 1| 000,    2| 0| 000,Tes deux bras justes pour enlacer 
Histoire d'A - T,Histoire d'A - T-103,   63| 1| 000,   66| 3| 042,    3| 2| 042,Et ton coeur juste pour… aimer.
