Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,"A travers vents et marées,"
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,ouragans et terre brûlées
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,J'ai choisi la musique à
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,à la flamme identique
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,Celle du feu sacré que je porte en trophée
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,Jamais l'idéal déserté
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,Jamais l'idéal déserté
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,"Avoir longtemps galéré,"
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,Parfois le fond touché
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,"Les deserts traversés,"
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,Souvent l'amour volé
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,Des tempêtes essuyées mais jamais l'idéal déserté
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,Jamais l'idéal déserté
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,Jamais l'idéal déserté
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,Certains voulu freiner
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-60,   59| 1| 000,   61| 1| 000,    2| 0| 000,cette volonté d'exister
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-62,   61| 1| 000,   63| 1| 000,    2| 0| 000,Jeter en moi le doute
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-64,   63| 1| 000,   65| 1| 000,    2| 0| 000,Me dévier de la route
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-66,   65| 1| 000,   67| 1| 000,    2| 0| 000,J’ai choisi la difficulté : à la musique m'enchaîner
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-68,   67| 1| 000,   69| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-70,   69| 1| 000,   71| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-72,   71| 1| 000,   73| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-74,   73| 1| 000,   75| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-76,   75| 1| 000,   77| 1| 000,    2| 0| 000,Jamais l'idéal déserté
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-78,   77| 1| 000,   79| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-80,   79| 1| 000,   81| 1| 000,    2| 0| 000,Avec elle à mes côtés
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-82,   81| 1| 000,   83| 1| 000,    2| 0| 000,Peu importe les dangers
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-84,   83| 1| 000,   85| 1| 000,    2| 0| 000,Je vibre dans ses bras
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-86,   85| 1| 000,   87| 1| 000,    2| 0| 000,Accomplissant mon Golgotha
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-88,   87| 1| 000,   89| 1| 000,    2| 0| 000,Douloureuse ascension faite d’embûches et de tribulations
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-90,   89| 1| 000,   91| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-92,   91| 1| 000,   93| 1| 000,    2| 0| 000,Jamais l'idéal déserté
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-94,   93| 1| 000,   95| 1| 000,    2| 0| 000,
Jamais l'ideal déserté - T,Jamais l'ideal déserté - T-96,   95| 1| 000,   97| 1| 000,    2| 0| 000,Jamais l'idéal déserté
