Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Je t'aime - T,Je t'aime - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,"Souviens-toi, souviens-toi bien"
Je t'aime - T,Je t'aime - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,Du premier mot anodin
Je t'aime - T,Je t'aime - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,Que tu lancas ce soir-là
Je t'aime - T,Je t'aime - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,fais de moi ton forcat
Je t'aime - T,Je t'aime - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,Ton forca volontaire pour infiniment te plaire
Je t'aime - T,Je t'aime - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,je t'aime à en pleurer
Je t'aime - T,Je t'aime - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,je t'aime pour délirer
Je t'aime - T,Je t'aime - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,je t'aime à t'ensorceler
Je t'aime - T,Je t'aime - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,je t'aime pour t'aimer
Je t'aime - T,Je t'aime - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,
Je t'aime - T,Je t'aime - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,
Je t'aime - T,Je t'aime - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,
Je t'aime - T,Je t'aime - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,"J'ai en moi,"
Je t'aime - T,Je t'aime - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,En moi l'espoir surtout l'envie
Je t'aime - T,Je t'aime - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,L’envie de croire qu'il y aura
Je t'aime - T,Je t'aime - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,une suite alors autour de toi je gravite.
Je t'aime - T,Je t'aime - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,"Pour enfin t'apprivoiser, fallait-il m'épuiser ."
Je t'aime - T,Je t'aime - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,je t'aime à en pleurer
Je t'aime - T,Je t'aime - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,je t'aime pour délirer
Je t'aime - T,Je t'aime - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,je t'aime à t'ensorceler
Je t'aime - T,Je t'aime - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,je t'aime pour t'aimer
Je t'aime - T,Je t'aime - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,je t'aime à en pleurer
Je t'aime - T,Je t'aime - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,je t'aime pour délirer
Je t'aime - T,Je t'aime - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,je t'aime à t'ensorceler
Je t'aime - T,Je t'aime - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,je t'aime pour t'aimer
Je t'aime - T,Je t'aime - T-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,
Je t'aime - T,Je t'aime - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,Et je guete de les signaux
Je t'aime - T,Je t'aime - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,Et j’imagine les scenario Puisque
Je t'aime - T,Je t'aime - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,"Puisque l'envie, l'envie m'emmène "
Je t'aime - T,Je t'aime - T-60,   59| 1| 000,   61| 1| 000,    2| 0| 000,là où est ton oxygène
Je t'aime - T,Je t'aime - T-62,   61| 1| 000,   63| 1| 000,    2| 0| 000,Où je respire l'air pur où culmine l'azur
Je t'aime - T,Je t'aime - T-64,   63| 1| 000,   65| 1| 000,    2| 0| 000,je t'aime à en pleurer
Je t'aime - T,Je t'aime - T-66,   65| 1| 000,   67| 1| 000,    2| 0| 000,je t'aime pour délirer
Je t'aime - T,Je t'aime - T-68,   67| 1| 000,   69| 1| 000,    2| 0| 000,je t'aime à t'ensorceler
Je t'aime - T,Je t'aime - T-70,   69| 1| 000,   71| 1| 000,    2| 0| 000,je t'aime pour t'aimer
Je t'aime - T,Je t'aime - T-72,   71| 1| 000,   73| 1| 000,    2| 0| 000,
Je t'aime - T,Je t'aime - T-74,   73| 1| 000,   75| 1| 000,    2| 0| 000,
Je t'aime - T,Je t'aime - T-76,   75| 1| 000,   77| 1| 000,    2| 0| 000,
Je t'aime - T,Je t'aime - T-78,   77| 1| 000,   79| 1| 000,    2| 0| 000,je t'aime à en pleurer
Je t'aime - T,Je t'aime - T-80,   79| 1| 000,   81| 1| 000,    2| 0| 000,je t'aime pour délirer
Je t'aime - T,Je t'aime - T-82,   81| 1| 000,   83| 1| 000,    2| 0| 000,je t'aime à t'ensorceler
Je t'aime - T,Je t'aime - T-84,   83| 1| 000,   85| 1| 000,    2| 0| 000,je t'aime pour t'aimer
Je t'aime - T,Je t'aime - T-86,   85| 1| 000,   87| 1| 000,    2| 0| 000,
Je t'aime - T,Je t'aime - T-87,   87| 1| 000,   92| 1| 499,    5| 0| 499,
