Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Le monde à bout - T,Le monde à bout - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,"Un peu de repos, un peu d’oubli,"
Le monde à bout - T,Le monde à bout - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,dans ce système qui terrifie
Le monde à bout - T,Le monde à bout - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,"Un peu de douceur, de repli,"
Le monde à bout - T,Le monde à bout - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,Pour devenir ce que je suis
Le monde à bout - T,Le monde à bout - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,"Un peu d’Humanité, de vérité,"
Le monde à bout - T,Le monde à bout - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,"dans ce brouillard de macchabées,"
Le monde à bout - T,Le monde à bout - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,"au temps accorder un delai,"
Le monde à bout - T,Le monde à bout - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,pour empêcher l’imparfait
Le monde à bout - T,Le monde à bout - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,"Les gens sont fous, le monde à bout,"
Le monde à bout - T,Le monde à bout - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,Arrivé à l'usure sans demi-mesure
Le monde à bout - T,Le monde à bout - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,"Les gens sont fous, le monde à bout,"
Le monde à bout - T,Le monde à bout - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,"Les données périmées, obsolètes, épuisées"
Le monde à bout - T,Le monde à bout - T-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,"Les gens sont fous, le monde à bout,"
Le monde à bout - T,Le monde à bout - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,"Les valeurs spures, jetées aux ordures"
Le monde à bout - T,Le monde à bout - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-60,   59| 1| 000,   61| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-62,   61| 1| 000,   63| 1| 000,    2| 0| 000,Stop !
Le monde à bout - T,Le monde à bout - T-64,   63| 1| 000,   65| 1| 000,    2| 0| 000,"Un peu d'amour, un instant"
Le monde à bout - T,Le monde à bout - T-66,   65| 1| 000,   67| 1| 000,    2| 0| 000,Pour vaincre les résistants
Le monde à bout - T,Le monde à bout - T-68,   67| 1| 000,   69| 1| 000,    2| 0| 000,Qui bouleversent l’équilibre
Le monde à bout - T,Le monde à bout - T-70,   69| 1| 000,   71| 1| 000,    2| 0| 000,De ce mouvement irréversible
Le monde à bout - T,Le monde à bout - T-72,   71| 1| 000,   73| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-74,   73| 1| 000,   75| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-76,   75| 1| 000,   77| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-78,   77| 1| 000,   79| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-80,   79| 1| 000,   81| 1| 000,    2| 0| 000,"Les gens sont fous, le monde à bout,"
Le monde à bout - T,Le monde à bout - T-82,   81| 1| 000,   83| 1| 000,    2| 0| 000,Arrivé à l'usure sans demi-mesure
Le monde à bout - T,Le monde à bout - T-84,   83| 1| 000,   85| 1| 000,    2| 0| 000,"Les gens sont fous, le monde à bout,"
Le monde à bout - T,Le monde à bout - T-86,   85| 1| 000,   87| 1| 000,    2| 0| 000,"Les données périmées, obsolètes, épuisées"
Le monde à bout - T,Le monde à bout - T-88,   87| 1| 000,   89| 1| 000,    2| 0| 000,"Les gens sont fous, le monde à bout,"
Le monde à bout - T,Le monde à bout - T-90,   89| 1| 000,   91| 1| 000,    2| 0| 000,"Les valeurs spures, jetées aux ordures"
Le monde à bout - T,Le monde à bout - T-92,   91| 1| 000,   93| 1| 000,    2| 0| 000,"Les gens sont fous, le monde à bout,"
Le monde à bout - T,Le monde à bout - T-94,   93| 1| 000,   95| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-96,   95| 1| 000,   97| 1| 000,    2| 0| 000,"Les gens sont fous, le monde à bout,"
Le monde à bout - T,Le monde à bout - T-98,   97| 1| 000,   99| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-100,   99| 1| 000,  101| 1| 000,    2| 0| 000,"Les gens sont fous, le monde à bout,"
Le monde à bout - T,Le monde à bout - T-102,  101| 1| 000,  103| 1| 000,    2| 0| 000,
Le monde à bout - T,Le monde à bout - T-103,  103| 1| 000,  106| 2| 247,    3| 1| 247,Ce monde est fou.
