Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Les mains de mon père - T,Les mains de mon père - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,"Sur cette terre d'Argérie, source de vos nostalgies,"
Les mains de mon père - T,Les mains de mon père - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,"Vous chérissez vos souvenirs, source de vos éclats de rire."
Les mains de mon père - T,Les mains de mon père - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,"Mais du jour au lendemain, il faut prendre un autre chemin,"
Les mains de mon père - T,Les mains de mon père - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,"Trouver la force de reconstruire, faire face pour ne plus jamais fuir."
Les mains de mon père - T,Les mains de mon père - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,"Dans les mains de mon père, dans les yeux de son père,"
Les mains de mon père - T,Les mains de mon père - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,"Je sens le poids de leur histoire, qui donne un sens à mes devoirs"
Les mains de mon père - T,Les mains de mon père - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,"Dans les mains de mon père, dans les yeux de son père,"
Les mains de mon père - T,Les mains de mon père - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,"Dans le sens de la mémoire, dans les méandres de l’histoire"
Les mains de mon père - T,Les mains de mon père - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,Je puise dans cet héritage qui me donne force et courage
Les mains de mon père - T,Les mains de mon père - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,Car c'est dans l'adversité que vous vous êtes révélés
Les mains de mon père - T,Les mains de mon père - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,"Dans les mains de mon père, dans les yeux de son père,"
Les mains de mon père - T,Les mains de mon père - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,"Je sens le poids de leur histoire, qui donne un sens à mes devoirs"
Les mains de mon père - T,Les mains de mon père - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,"Dans les mains de mon père, dans les yeux de son père,"
Les mains de mon père - T,Les mains de mon père - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,"Dans le sens de la mémoire, dans les méandres de l’histoire"
Les mains de mon père - T,Les mains de mon père - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,
Les mains de mon père - T,Les mains de mon père - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,
