Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Ma Metamorphose - T,Ma Metamorphose - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,musique
Ma Metamorphose - T,Ma Metamorphose - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,De Chenille à Papillon
Ma Metamorphose - T,Ma Metamorphose - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,Sur les voies de la guérison
Ma Metamorphose - T,Ma Metamorphose - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,J'explore mon intériorité
Ma Metamorphose - T,Ma Metamorphose - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,A la découverte de mon identité
Ma Metamorphose - T,Ma Metamorphose - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,Voici ma métamorphose
Ma Metamorphose - T,Ma Metamorphose - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,Et voici ma métamorphose
Ma Metamorphose - T,Ma Metamorphose - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,Je sème des graines d'éternité
Ma Metamorphose - T,Ma Metamorphose - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,Sur le chemin de ma destinée
Ma Metamorphose - T,Ma Metamorphose - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,À travers les épreuves de la vie
Ma Metamorphose - T,Ma Metamorphose - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,Je deviens cette âme épanouie
Ma Metamorphose - T,Ma Metamorphose - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,Voici ma métamorphose
Ma Metamorphose - T,Ma Metamorphose - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,Et voici ma métamorphose
Ma Metamorphose - T,Ma Metamorphose - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,De l'obscurité à la lumière
Ma Metamorphose - T,Ma Metamorphose - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,J'anéantis toutes mes barrières
Ma Metamorphose - T,Ma Metamorphose - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,Défiant les ombres de ma vie
Ma Metamorphose - T,Ma Metamorphose - T-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,Je bouscule tous mes interdits
Ma Metamorphose - T,Ma Metamorphose - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,Voici ma métamorphose
Ma Metamorphose - T,Ma Metamorphose - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,Et voici ma métamorphose
Ma Metamorphose - T,Ma Metamorphose - T-60,   59| 1| 000,   61| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-62,   61| 1| 000,   63| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-64,   63| 1| 000,   65| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-66,   65| 1| 000,   67| 1| 000,    2| 0| 000,Voici ma métamorphose
Ma Metamorphose - T,Ma Metamorphose - T-68,   67| 1| 000,   69| 1| 000,    2| 0| 000,
Ma Metamorphose - T,Ma Metamorphose - T-70,   69| 1| 000,   71| 1| 000,    2| 0| 000,Et voici ma métamorphose
Ma Metamorphose - T,Ma Metamorphose - T-72,   71| 1| 000,   73| 1| 000,    2| 0| 000,
