Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Mesdames - T,Mesdames - T-04,    1| 1| 000,    3| 1| 000,    2| 0| 000,
Mesdames - T,Mesdames - T-06,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Mesdames - T,Mesdames - T-08,    5| 1| 000,    7| 1| 000,    2| 0| 000,
Mesdames - T,Mesdames - T-10,    7| 1| 000,    9| 1| 000,    2| 0| 000,
Mesdames - T,Mesdames - T-12,    9| 1| 000,   11| 1| 000,    2| 0| 000,"La belle dame de pique, à la froide esthétique,"
Mesdames - T,Mesdames - T-14,   11| 1| 000,   13| 1| 000,    2| 0| 000,"au sourire ironique, de son épine"
Mesdames - T,Mesdames - T-16,   13| 1| 000,   15| 1| 000,    2| 0| 000,me pique.
Mesdames - T,Mesdames - T-18,   15| 1| 000,   17| 1| 000,    2| 0| 000,
Mesdames - T,Mesdames - T-20,   17| 1| 000,   19| 1| 000,    2| 0| 000,"La dame de trèfle, graine de nèfle,"
Mesdames - T,Mesdames - T-22,   19| 1| 000,   21| 1| 000,    2| 0| 000,"finance mes exigeances, avec"
Mesdames - T,Mesdames - T-24,   21| 1| 000,   23| 1| 000,    2| 0| 000,obéissance
Mesdames - T,Mesdames - T-26,   23| 1| 000,   25| 1| 000,    2| 0| 000,
Mesdames - T,Mesdames - T-28,   25| 1| 000,   27| 1| 000,    2| 0| 000,"Pourtant celle qui fascine, accro comme la morphine,"
Mesdames - T,Mesdames - T-30,   27| 1| 000,   29| 1| 000,    2| 0| 000,dangereuse et sublime…
Mesdames - T,Mesdames - T-32,   29| 1| 000,   31| 1| 000,    2| 0| 000,"Mutine cabotine en Jean’s, redoutée comme l’héroïne "
Mesdames - T,Mesdames - T-34,   31| 1| 000,   33| 1| 000,    2| 0| 000,de loin toutes les domine.
Mesdames - T,Mesdames - T-36,   33| 1| 000,   35| 1| 000,    2| 0| 000,"Pourtant celle qui fascine, accro comme la morphine,"
Mesdames - T,Mesdames - T-38,   35| 1| 000,   37| 1| 000,    2| 0| 000,dangereuse et sublime…
Mesdames - T,Mesdames - T-40,   37| 1| 000,   39| 1| 000,    2| 0| 000,"Mutine cabotine en Jean’s, redoutée comme l’héroïne "
Mesdames - T,Mesdames - T-42,   39| 1| 000,   41| 1| 000,    2| 0| 000,de loin toutes les domine.
Mesdames - T,Mesdames - T-44,   41| 1| 000,   43| 1| 000,    2| 0| 000,
Mesdames - T,Mesdames - T-46,   43| 1| 000,   45| 1| 000,    2| 0| 000,
Mesdames - T,Mesdames - T-48,   45| 1| 000,   47| 1| 000,    2| 0| 000,"A vous mes dames, oui vous mes dames,"
Mesdames - T,Mesdames - T-50,   47| 1| 000,   49| 1| 000,    2| 0| 000,oh vous mes dames.
Mesdames - T,Mesdames - T-52,   49| 1| 000,   51| 1| 000,    2| 0| 000,"A vous mes dames, oui vous mes dames,"
Mesdames - T,Mesdames - T-54,   51| 1| 000,   53| 1| 000,    2| 0| 000,oh vous mes dames.
Mesdames - T,Mesdames - T-56,   53| 1| 000,   55| 1| 000,    2| 0| 000,"Pourtant celle qui fascine, accro comme la morphine,"
Mesdames - T,Mesdames - T-58,   55| 1| 000,   57| 1| 000,    2| 0| 000,dangereuse et sublime…
Mesdames - T,Mesdames - T-60,   57| 1| 000,   59| 1| 000,    2| 0| 000,"Mutine cabotine en Jean’s, redoutée comme l’héroïne "
Mesdames - T,Mesdames - T-62,   59| 1| 000,   61| 1| 000,    2| 0| 000,de loin toutes les domine.
Mesdames - T,Mesdames - T-64,   61| 1| 000,   63| 1| 000,    2| 0| 000,"Pourtant celle qui fascine, accro comme la morphine,"
Mesdames - T,Mesdames - T-66,   63| 1| 000,   65| 1| 000,    2| 0| 000,dangereuse et sublime…
Mesdames - T,Mesdames - T-68,   65| 1| 000,   67| 1| 000,    2| 0| 000,"Mutine cabotine en Jean’s, redoutée comme l’héroïne "
Mesdames - T,Mesdames - T-70,   67| 1| 000,   69| 1| 000,    2| 0| 000,de loin toutes les domine.
Mesdames - T,Mesdames - T-72,   69| 1| 000,   71| 1| 000,    2| 0| 000,"La dame de carreau, avocate au barreau,"
Mesdames - T,Mesdames - T-74,   71| 1| 000,   73| 1| 000,    2| 0| 000,plaide mon innocence…
