Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Où va le monde - T,Où va le monde - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,
Où va le monde - T,Où va le monde - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Où va le monde - T,Où va le monde - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,
Où va le monde - T,Où va le monde - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,Où va le monde ?
Où va le monde - T,Où va le monde - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,je cherche à comprendre 
Où va le monde - T,Où va le monde - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,Quelle est cette ronde ? 
Où va le monde - T,Où va le monde - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,on pourrait si méprendre. 
Où va le monde - T,Où va le monde - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,"Apprenez moi la vie,"
Où va le monde - T,Où va le monde - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,"dites moi, quels sont mes besoins "
Où va le monde - T,Où va le monde - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,sournoisement ce monde 
Où va le monde - T,Où va le monde - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,"m'a soumit, j'ai perdu mon chemin"
Où va le monde - T,Où va le monde - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,La parole de sert à rien
Où va le monde - T,Où va le monde - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,le bon sens c'est éteint 
Où va le monde - T,Où va le monde - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,la vertu n'a plus de gardien
Où va le monde - T,Où va le monde - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,le Moi est devenu assa s sin 
Où va le monde - T,Où va le monde - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,"Apprenez moi la vie,"
Où va le monde - T,Où va le monde - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,"dites moi, quels sont mes besoins "
Où va le monde - T,Où va le monde - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,sournoisement ce Monde 
Où va le monde - T,Où va le monde - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,"m'a soumit ,j'ai perdu mon chemin"
Où va le monde - T,Où va le monde - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,chemin
Où va le monde - T,Où va le monde - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,
Où va le monde - T,Où va le monde - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,
Où va le monde - T,Où va le monde - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,
Où va le monde - T,Où va le monde - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,"Apprenez moi la vie,"
Où va le monde - T,Où va le monde - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,"dites moi, quels sont mes besoins "
Où va le monde - T,Où va le monde - T-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,sournoisement ce monde 
Où va le monde - T,Où va le monde - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,"m'a soumit, j'ai perdu mon chemin"
Où va le monde - T,Où va le monde - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,"'est la quête d'un bonheur,"
Où va le monde - T,Où va le monde - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,qu'on apprend à la télé 
Où va le monde - T,Où va le monde - T-60,   59| 1| 000,   61| 1| 000,    2| 0| 000,au lieu de chercher dans le coeur
Où va le monde - T,Où va le monde - T-62,   61| 1| 000,   63| 1| 000,    2| 0| 000,triste r é alité
Où va le monde - T,Où va le monde - T-64,   63| 1| 000,   65| 1| 000,    2| 0| 000,Où va le monde
Où va le monde - T,Où va le monde - T-66,   65| 1| 000,   67| 1| 000,    2| 0| 000,qu'est ce qui ne tourne pas rond 
Où va le monde - T,Où va le monde - T-68,   67| 1| 000,   69| 1| 000,    2| 0| 000,Quel mal le ronge
Où va le monde - T,Où va le monde - T-70,   69| 1| 000,   71| 1| 000,    2| 0| 000,apparence et menssonge
Où va le monde - T,Où va le monde - T-72,   71| 1| 000,   73| 1| 000,    2| 0| 000,"Apprenez moi la vie,"
Où va le monde - T,Où va le monde - T-74,   73| 1| 000,   75| 1| 000,    2| 0| 000,"dites moi, quels sont mes besoins "
Où va le monde - T,Où va le monde - T-76,   75| 1| 000,   77| 1| 000,    2| 0| 000,sournoisement ce monde 
Où va le monde - T,Où va le monde - T-78,   77| 1| 000,   79| 1| 000,    2| 0| 000,"m'a soumit, j'ai perdu mon chemin"
Où va le monde - T,Où va le monde - T-80,   79| 1| 000,   81| 1| 000,    2| 0| 000,J'ai perdu mon chemin
Où va le monde - T,Où va le monde - T-82,   81| 1| 000,   83| 1| 000,    2| 0| 000,Où va le monde ?
Où va le monde - T,Où va le monde - T-84,   83| 1| 000,   85| 1| 000,    2| 0| 000,
Où va le monde - T,Où va le monde - T-85,   85| 1| 000,   87| 4| 923,    2| 3| 923,
