Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Phoenix - T,Phoenix - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,
Phoenix - T,Phoenix - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Phoenix - T,Phoenix - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,
Phoenix - T,Phoenix - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,"Notre monde égare ses rêves,"
Phoenix - T,Phoenix - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,Sa joie de vivre son insouciance.
Phoenix - T,Phoenix - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,Tout ce qui fait que la vie
Phoenix - T,Phoenix - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,à un sens. 
Phoenix - T,Phoenix - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,Le temps s’égrène 
Phoenix - T,Phoenix - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,et ne nous laisse aucune trêve.
Phoenix - T,Phoenix - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,
Phoenix - T,Phoenix - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,"Ni mon coeur, ni mon âme,"
Phoenix - T,Phoenix - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,ne se perdront sur le Styx.
Phoenix - T,Phoenix - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,"L'Enfer peut faire rugir ses flammes,"
Phoenix - T,Phoenix - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,rien n’atteint le Phoenix !
Phoenix - T,Phoenix - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,Ces belles années perdues à jamais 
Phoenix - T,Phoenix - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,Que l’on pleure pour nos enfants.
Phoenix - T,Phoenix - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,Cupidité et envie sont 
Phoenix - T,Phoenix - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,devenu oppressants.
Phoenix - T,Phoenix - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,"Leurs vies s’abîment,"
Phoenix - T,Phoenix - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,victime de nos excès.
Phoenix - T,Phoenix - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,"Ni mon coeur, ni mon âme,"
Phoenix - T,Phoenix - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,ne se perdront sur le Styx.
Phoenix - T,Phoenix - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,"L'Enfer peut faire rugir ses flammes,"
Phoenix - T,Phoenix - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,rien n’atteint le Phoenix !
Phoenix - T,Phoenix - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,
Phoenix - T,Phoenix - T-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,
Phoenix - T,Phoenix - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,
Phoenix - T,Phoenix - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,
Phoenix - T,Phoenix - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,"Ni mon coeur, ni mon âme,"
Phoenix - T,Phoenix - T-60,   59| 1| 000,   61| 1| 000,    2| 0| 000,ne se perdront sur le Styx.
Phoenix - T,Phoenix - T-62,   61| 1| 000,   63| 1| 000,    2| 0| 000,"L'Enfer peut faire rugir ses flammes,"
Phoenix - T,Phoenix - T-64,   63| 1| 000,   65| 1| 000,    2| 0| 000,rien n’atteint le Phoenix !
Phoenix - T,Phoenix - T-66,   65| 1| 000,   67| 1| 000,    2| 0| 000,"Offre à chacun un peu de bienveillance,"
Phoenix - T,Phoenix - T-68,   67| 1| 000,   69| 1| 000,    2| 0| 000,Que les esprits s’illuminent.
Phoenix - T,Phoenix - T-70,   69| 1| 000,   71| 1| 000,    2| 0| 000,Pour vaincre cette calamité
Phoenix - T,Phoenix - T-72,   71| 1| 000,   73| 1| 000,    2| 0| 000,qui nous assassine.
Phoenix - T,Phoenix - T-74,   73| 1| 000,   75| 1| 000,    2| 0| 000,Aucun bonheur ne doit s’éteindre
Phoenix - T,Phoenix - T-76,   75| 1| 000,   77| 1| 000,    2| 0| 000,dans l’indifférence.
Phoenix - T,Phoenix - T-78,   77| 1| 000,   79| 1| 000,    2| 0| 000,"Ni mon coeur, ni mon âme,"
Phoenix - T,Phoenix - T-80,   79| 1| 000,   81| 1| 000,    2| 0| 000,ne se perdront sur le Styx
Phoenix - T,Phoenix - T-82,   81| 1| 000,   83| 1| 000,    2| 0| 000,"L'Enfer peut faire rugir ses flammes,"
