Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Derrière la Porte - T,Derrière la Porte - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,J'espère qu'elle ouvrira la porte.
Derrière la Porte - T,Derrière la Porte - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Derrière la Porte - T,Derrière la Porte - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,Mais je n'attends pourtant personne.
Derrière la Porte - T,Derrière la Porte - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,
Derrière la Porte - T,Derrière la Porte - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,Seule la mélancolie m’escorte. 
Derrière la Porte - T,Derrière la Porte - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,
Derrière la Porte - T,Derrière la Porte - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,"Au fond de mon cœur, l'espoir résonne."
Derrière la Porte - T,Derrière la Porte - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,
Derrière la Porte - T,Derrière la Porte - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,"C'est une peur, une impatience,"
Derrière la Porte - T,Derrière la Porte - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,c’est un cri une détresse immense.
Derrière la Porte - T,Derrière la Porte - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,"Et l’espoir qu’un jour de chance,"
Derrière la Porte - T,Derrière la Porte - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,la naissance d’une belle romance.
Derrière la Porte - T,Derrière la Porte - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,J'aimerais tant qu'elle pousse en cette porte…
Derrière la Porte - T,Derrière la Porte - T-141,   27| 1| 000,   29| 1| 000,    2| 0| 000,
Derrière la Porte - T,Derrière la Porte - T-143,   29| 1| 000,   31| 1| 000,    2| 0| 000,Et je scrute toutes ces belles histoires
