Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Le temps des regrets - T,Le temps des regrets - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,"Qu’avons fait du temps,"
Le temps des regrets - T,Le temps des regrets - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,"inestimable et précieux,"
Le temps des regrets - T,Le temps des regrets - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,que l’on gaspille pourtant
Le temps des regrets - T,Le temps des regrets - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,en actes capricieux ?
Le temps des regrets - T,Le temps des regrets - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,"Qu’avons nous appris du temps,"
Le temps des regrets - T,Le temps des regrets - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,"qui construit notre histoire,"
Le temps des regrets - T,Le temps des regrets - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,"de ses enseignements,"
Le temps des regrets - T,Le temps des regrets - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,de mémoire en devoirs ?
Le temps des regrets - T,Le temps des regrets - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,"Le temps des regrets,"
Le temps des regrets - T,Le temps des regrets - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,"Le temps de changer les choses,"
Le temps des regrets - T,Le temps des regrets - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,"Pour ne plus sombrer,"
Le temps des regrets - T,Le temps des regrets - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,avant que notre monde explose.
Le temps des regrets - T,Le temps des regrets - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,"Le temps de l'humilité,"
Le temps des regrets - T,Le temps des regrets - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,"L'envie d'apprendre du passé,"
Le temps des regrets - T,Le temps des regrets - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,Corriger nos destinées
Le temps des regrets - T,Le temps des regrets - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,pour que brille notre éternité !
Le temps des regrets - T,Le temps des regrets - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,Le temps des regrets…
Le temps des regrets - T,Le temps des regrets - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,Le temps des regrets…
Le temps des regrets - T,Le temps des regrets - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,
Le temps des regrets - T,Le temps des regrets - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,Qu’avons nous à espérer
Le temps des regrets - T,Le temps des regrets - T-60,   59| 1| 000,   61| 1| 000,    2| 0| 000,"de l'argent, du pouvoir."
