Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,"Et si c'était facile de choisir un chemin,"
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,"et si c'était facile de regarder plus loin,"
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,Plus de lame qu'on aiguise
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,et plus de vie soumise.
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,"Et si c'était facile, si on manquait de rien,"
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,A chacun son idylle sans envier son prochain.
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,"Et plus de peur qui dure,"
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,plus de soif de luxure.
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,"Mais ça ce n'est qu'un rêve, et mon coeur saigne encore,"
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,"il n'y a jamais de trêve, pour apaiser mon sort ,"
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,et je suis à genoux : nous de sommes que des fous !
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,"Que nous resterait-il, que des enfants heureux,"
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,"et plus d'âmes en exil, nos soirées près du feu ;"
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,"Il ne manquerait personne, jusqu'à ce que l'heure sonne."
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,Mais ça ce n'est qu'un rêve …
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,"Mais ça ce n'est qu'un rêve, et mon coeur saigne encore,"
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,"il n'y a jamais de trêve, pour apaiser mon sort ,"
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,et je suis à genoux : nous de sommes que des fous !
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,"Et si ce n'était un rêve, je ne voudrais rien de toi,"
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,avant que nos vies s'achèvent.
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,"Tu ne voudrais rien de moi,  juste une vie qui nous ressemble,"
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,juste le bonheur d'être ensemble.
Ce n'était qu'un rêve - T,Ce n'était qu'un rêve - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,"Mais ça ce n'est qu'un rêve, et mon coeur saigne encore,"
