Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Vibrations - T,Vibrations - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,C'est une vibration qui efface la noirceur
Vibrations - T,Vibrations - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,Un remède
Vibrations - T,Vibrations - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,qui te soigne le coeur
Vibrations - T,Vibrations - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,C'est une douceur qui t’apaise et te berce
Vibrations - T,Vibrations - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,c'est la voix du bonheur
Vibrations - T,Vibrations - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,qui empêche tes peurs.
Vibrations - T,Vibrations - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,"Toutes ces musiques elles ne te quittent jamais, "
Vibrations - T,Vibrations - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,parfois si douce et parfois cynique.
Vibrations - T,Vibrations - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,C'est le sucre de l'existence
Vibrations - T,Vibrations - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,Sans elle plus rien n’a de sens
Vibrations - T,Vibrations - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,"C'est le son de l’insouciance qui guide tes premières fois,"
Vibrations - T,Vibrations - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,elles dessinent tes romances
Vibrations - T,Vibrations - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,et t’encouragent parfois
Vibrations - T,Vibrations - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,C'est un éco nostalgique qui ramène ton histoire 
Vibrations - T,Vibrations - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,et tous ses moments magiques
Vibrations - T,Vibrations - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,qui font danser ta mémoire.
Vibrations - T,Vibrations - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,Toutes ces musiques elles ne te quittent jamais
Vibrations - T,Vibrations - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,parfois si douce et parfois cynique.
Vibrations - T,Vibrations - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,C'est le sucre de l'existence
Vibrations - T,Vibrations - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,Sans elle plus rien n’a de sens
Vibrations - T,Vibrations - T-60,   59| 1| 000,   61| 1| 000,    2| 0| 000,"Et quand ça tape,et quand çà chante"
Vibrations - T,Vibrations - T-62,   61| 1| 000,   63| 1| 000,    2| 0| 000,les vibrations font danser le monde !
Vibrations - T,Vibrations - T-64,   63| 1| 000,   65| 1| 000,    2| 0| 000,"Et quand ça tape,et quand çà chante"
Vibrations - T,Vibrations - T-66,   65| 1| 000,   67| 1| 000,    2| 0| 000,c’est la musique qui inspire le monde !
Vibrations - T,Vibrations - T-68,   67| 1| 000,   69| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-70,   69| 1| 000,   71| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-72,   71| 1| 000,   73| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-74,   73| 1| 000,   75| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-76,   75| 1| 000,   77| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-78,   77| 1| 000,   79| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-80,   79| 1| 000,   81| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-82,   81| 1| 000,   83| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-84,   83| 1| 000,   85| 1| 000,    2| 0| 000,Toutes ces musiques elles ne te quittent jamais
Vibrations - T,Vibrations - T-86,   85| 1| 000,   87| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-88,   87| 1| 000,   89| 1| 000,    2| 0| 000,parfois si douce et parfois cynique.
Vibrations - T,Vibrations - T-90,   89| 1| 000,   91| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-92,   91| 1| 000,   93| 1| 000,    2| 0| 000,C'est le sucre de l'existence
Vibrations - T,Vibrations - T-94,   93| 1| 000,   95| 1| 000,    2| 0| 000,Sans elle plus rien n’a de sens
Vibrations - T,Vibrations - T-96,   95| 1| 000,   97| 1| 000,    2| 0| 000,Sans elle plus rien n’a de sens
Vibrations - T,Vibrations - T-98,   97| 1| 000,   99| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-100,   99| 1| 000,  101| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-102,  101| 1| 000,  103| 1| 000,    2| 0| 000,
Vibrations - T,Vibrations - T-103,  103| 1| 000,  105| 1| 688,    2| 0| 688,
