Nom de la piste,Nom du clip,Temps du début du discours,Temps de fin du discours,Durée du discours,Discours
Viser les étoiles - T,Viser les étoiles - T-02,    1| 1| 000,    3| 1| 000,    2| 0| 000,
Viser les étoiles - T,Viser les étoiles - T-04,    3| 1| 000,    5| 1| 000,    2| 0| 000,
Viser les étoiles - T,Viser les étoiles - T-06,    5| 1| 000,    7| 1| 000,    2| 0| 000,Chaque jour qui se lève
Viser les étoiles - T,Viser les étoiles - T-08,    7| 1| 000,    9| 1| 000,    2| 0| 000,
Viser les étoiles - T,Viser les étoiles - T-10,    9| 1| 000,   11| 1| 000,    2| 0| 000,"Apporte son lot de mystères,"
Viser les étoiles - T,Viser les étoiles - T-12,   11| 1| 000,   13| 1| 000,    2| 0| 000,
Viser les étoiles - T,Viser les étoiles - T-14,   13| 1| 000,   15| 1| 000,    2| 0| 000,De l'espoir qui nous crève
Viser les étoiles - T,Viser les étoiles - T-16,   15| 1| 000,   17| 1| 000,    2| 0| 000,
Viser les étoiles - T,Viser les étoiles - T-18,   17| 1| 000,   19| 1| 000,    2| 0| 000,Règle du jeu amère
Viser les étoiles - T,Viser les étoiles - T-20,   19| 1| 000,   21| 1| 000,    2| 0| 000,
Viser les étoiles - T,Viser les étoiles - T-22,   21| 1| 000,   23| 1| 000,    2| 0| 000,Je dois viser les étoiles
Viser les étoiles - T,Viser les étoiles - T-24,   23| 1| 000,   25| 1| 000,    2| 0| 000,L'enfer m'attire dans sa toile
Viser les étoiles - T,Viser les étoiles - T-26,   25| 1| 000,   27| 1| 000,    2| 0| 000,"Voler vers la lumière, le regard fier"
Viser les étoiles - T,Viser les étoiles - T-28,   27| 1| 000,   29| 1| 000,    2| 0| 000,Ne pas regarder en arrière
Viser les étoiles - T,Viser les étoiles - T-30,   29| 1| 000,   31| 1| 000,    2| 0| 000,Je dois viser les étoiles
Viser les étoiles - T,Viser les étoiles - T-32,   31| 1| 000,   33| 1| 000,    2| 0| 000,L'enfer m'attire dans sa toile
Viser les étoiles - T,Viser les étoiles - T-34,   33| 1| 000,   35| 1| 000,    2| 0| 000,"Voler vers la lumière, le regard fier"
Viser les étoiles - T,Viser les étoiles - T-36,   35| 1| 000,   37| 1| 000,    2| 0| 000,Ne pas regarder en arrière
Viser les étoiles - T,Viser les étoiles - T-38,   37| 1| 000,   39| 1| 000,    2| 0| 000,Chaque nuit qui commence
Viser les étoiles - T,Viser les étoiles - T-40,   39| 1| 000,   41| 1| 000,    2| 0| 000,Distille cette douleur intense
Viser les étoiles - T,Viser les étoiles - T-42,   41| 1| 000,   43| 1| 000,    2| 0| 000,Quand la peur donne la cadence
Viser les étoiles - T,Viser les étoiles - T-44,   43| 1| 000,   45| 1| 000,    2| 0| 000,Ne pas tenir la distance
Viser les étoiles - T,Viser les étoiles - T-46,   45| 1| 000,   47| 1| 000,    2| 0| 000,
Viser les étoiles - T,Viser les étoiles - T-48,   47| 1| 000,   49| 1| 000,    2| 0| 000,Je dois viser les étoiles
Viser les étoiles - T,Viser les étoiles - T-50,   49| 1| 000,   51| 1| 000,    2| 0| 000,L'enfer m'attire dans sa toile
Viser les étoiles - T,Viser les étoiles - T-52,   51| 1| 000,   53| 1| 000,    2| 0| 000,"Voler vers la lumière, le regard fier"
Viser les étoiles - T,Viser les étoiles - T-54,   53| 1| 000,   55| 1| 000,    2| 0| 000,Ne pas regarder en arrière
Viser les étoiles - T,Viser les étoiles - T-56,   55| 1| 000,   57| 1| 000,    2| 0| 000,Je dois viser les étoiles
Viser les étoiles - T,Viser les étoiles - T-58,   57| 1| 000,   59| 1| 000,    2| 0| 000,L'enfer m'attire dans sa toile
Viser les étoiles - T,Viser les étoiles - T-60,   59| 1| 000,   61| 1| 000,    2| 0| 000,"Voler vers la lumière, le regard fier"
Viser les étoiles - T,Viser les étoiles - T-62,   61| 1| 000,   63| 1| 000,    2| 0| 000,Ne pas regarder en arrière
Viser les étoiles - T,Viser les étoiles - T-64,   63| 1| 000,   65| 1| 000,    2| 0| 000,Ce qui ne tue pas rend plus fort
Viser les étoiles - T,Viser les étoiles - T-66,   65| 1| 000,   67| 1| 000,    2| 0| 000,"Tête baissée, genou à terre"
Viser les étoiles - T,Viser les étoiles - T-68,   67| 1| 000,   69| 1| 000,    2| 0| 000,Le cœur percé de ses chimères
Viser les étoiles - T,Viser les étoiles - T-70,   69| 1| 000,   71| 1| 000,    2| 0| 000,"Vomis, vomis, les blessures"
Viser les étoiles - T,Viser les étoiles - T-72,   71| 1| 000,   73| 1| 000,    2| 0| 000,d’hier
Viser les étoiles - T,Viser les étoiles - T-74,   73| 1| 000,   75| 1| 000,    2| 0| 000,
Viser les étoiles - T,Viser les étoiles - T-76,   75| 1| 000,   77| 1| 000,    2| 0| 000,
Viser les étoiles - T,Viser les étoiles - T-78,   77| 1| 000,   79| 1| 000,    2| 0| 000,
Viser les étoiles - T,Viser les étoiles - T-80,   79| 1| 000,   81| 1| 000,    2| 0| 000,Je dois viser les étoiles
Viser les étoiles - T,Viser les étoiles - T-82,   81| 1| 000,   83| 1| 000,    2| 0| 000,L'enfer m'attire dans sa toile
Viser les étoiles - T,Viser les étoiles - T-84,   83| 1| 000,   85| 1| 000,    2| 0| 000,"Voler vers la lumière, le regard fier"
Viser les étoiles - T,Viser les étoiles - T-86,   85| 1| 000,   87| 1| 000,    2| 0| 000,Ne pas regarder en arrière
Viser les étoiles - T,Viser les étoiles - T-88,   87| 1| 000,   89| 1| 000,    2| 0| 000,Je dois viser les étoiles
Viser les étoiles - T,Viser les étoiles - T-90,   89| 1| 000,   91| 1| 000,    2| 0| 000,L'enfer m'attire dans sa toile
Viser les étoiles - T,Viser les étoiles - T-92,   91| 1| 000,   93| 1| 000,    2| 0| 000,"Voler vers la lumière, le regard fier"
Viser les étoiles - T,Viser les étoiles - T-94,   93| 1| 000,   95| 1| 000,    2| 0| 000,Ne pas regarder en arrière
Viser les étoiles - T,Viser les étoiles - T-96,   95| 1| 000,   97| 1| 000,    2| 0| 000,Je dois viser les étoiles
Viser les étoiles - T,Viser les étoiles - T-98,   97| 1| 000,   99| 1| 000,    2| 0| 000,Laissez-moi viser les étoiles
Viser les étoiles - T,Viser les étoiles - T-100,   99| 1| 000,  101| 1| 000,    2| 0| 000,L'enfer m'attire dans sa toile
Viser les étoiles - T,Viser les étoiles - T-102,  101| 1| 000,  103| 1| 000,    2| 0| 000,Comme j'ai besoin des étoiles
Viser les étoiles - T,Viser les étoiles - T-104,  103| 1| 000,  105| 1| 000,    2| 0| 000,Je dois viser les étoiles
Viser les étoiles - T,Viser les étoiles - T-106,  105| 1| 000,  107| 1| 000,    2| 0| 000,L'enfer m'attire dans sa toile
Viser les étoiles - T,Viser les étoiles - T-108,  107| 1| 000,  109| 1| 000,    2| 0| 000,Laissez-moi viser les étoiles
Viser les étoiles - T,Viser les étoiles - T-110,  109| 1| 000,  111| 1| 000,    2| 0| 000,Moi j'ai besoin des étoiles
Viser les étoiles - T,Viser les étoiles - T-112,  111| 1| 000,  113| 1| 000,    2| 0| 000,Je dois viser les étoiles
